time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:31,42,42,W,-74,-74,-74,,,,-68,-61,,-55,,
7/9/2024 9:31,42,42,W,-67,,,,,-74,-57,-57,-58,,,
7/9/2024 9:32,42,42,W,,-72,,,,,-56,,-59,-52,-65,
7/9/2024 9:32,42,42,W,-65,,,,-62,-72,-80,,-64,-50,-53,-74
7/9/2024 9:32,42,42,W,-69,,-73,-70,-71,-71,,-58,-58,-53,-75,-75
7/9/2024 9:32,42,42,W,,,,,-70,,,,-72,,-54,
7/9/2024 9:32,42,42,W,,-66,-73,-74,,-77,,-68,,-53,-54,-75
7/9/2024 9:32,42,42,W,,,,,-70,,-56,,-67,-51,-72,-70
7/9/2024 9:32,42,42,W,-67,,,,-66,-71,-64,,-61,-75,,-77
7/9/2024 9:32,42,42,W,,,,,,,-57,-57,-57,-53,-53,-75
7/9/2024 9:32,42,42,W,-77,,,-78,,-71,,-55,-57,-54,-72,-71
7/9/2024 9:32,42,42,W,,-73,,,,,-69,,-58,,-52,-73
7/9/2024 9:32,42,42,W,,,-70,-71,-80,,,-55,-68,-49,-54,-69
7/9/2024 9:32,42,42,W,,,,-76,,,,-52,,-70,,
7/9/2024 9:32,42,42,W,,,-74,-68,-70,,,-55,-71,-63,-52,-71
7/9/2024 9:32,42,42,W,-70,-70,-73,-72,,-76,,-56,,,,
7/9/2024 9:32,42,42,W,-71,-70,,-78,,,-68,-61,-58,-67,,
7/9/2024 9:32,42,42,W,-63,,-74,-67,,,,-61,-56,-53,-52,
7/9/2024 9:32,42,42,W,,-69,,,,,,,,-54,-53,
7/9/2024 9:32,42,42,W,-63,,-72,-68,,-71,,,-74,-69,-69,
7/9/2024 9:32,42,42,W,-63,-70,-70,-73,-71,,,,-58,,,
7/9/2024 9:32,42,42,W,-63,-70,,,-69,,,,-56,-49,,-75
7/9/2024 9:32,42,42,W,-64,,,,,-71,,-55,-73,-55,-63,
7/9/2024 9:32,42,42,W,-68,,-74,,-68,,,,-57,-53,-52,
7/9/2024 9:32,42,42,W,,,-71,,,-74,,,-55,-49,-64,-75
7/9/2024 9:32,42,42,W,-79,-67,-72,-68,-67,-74,-72,-61,-57,-54,,
7/9/2024 9:32,42,42,W,,-82,-71,,,,-56,-55,,-53,-52,-80
7/9/2024 9:32,42,42,W,-66,-68,-73,,,,-72,-61,-55,-48,-52,-71
7/9/2024 9:32,42,42,W,-70,,-73,-71,,,-55,,-56,-54,-53,-77
7/9/2024 9:32,42,42,W,-67,,,,-90,,,-53,-56,,,
7/9/2024 9:32,42,42,W,,-68,,,,,,,-56,-48,-75,
7/9/2024 9:32,42,42,W,,,-71,,-67,-71,-56,-55,-73,-62,-63,-74
7/9/2024 9:32,42,42,W,,,-67,,-73,,-62,,-73,-48,-53,-76
7/9/2024 9:32,42,42,W,,-70,-72,,,,-62,,,-53,-73,-74
7/9/2024 9:32,42,42,W,-69,-71,,,-64,-71,,-55,,,-52,
7/9/2024 9:32,42,42,W,-70,-70,-71,-63,,-69,,-60,-56,-48,-75,-76
7/9/2024 9:32,42,42,W,,,,,,-69,,,,-64,-77,
7/9/2024 9:32,42,42,W,,,,,-70,,,,-72,-54,-68,
7/9/2024 9:32,42,42,W,-67,,-71,-77,,-68,,,,-54,-53,
7/9/2024 9:32,42,42,W,-67,,,,,,-55,-61,-55,-48,-74,
7/9/2024 9:32,42,42,W,-68,-69,-68,-73,-74,,,,-67,-67,-64,-71
7/9/2024 9:32,42,42,W,,,,-78,,,,,-57,-68,-53,
7/9/2024 9:32,42,42,W,,-71,,,,-66,-68,,-56,,,
7/9/2024 9:32,42,42,W,-69,-71,,,,-65,,-55,-74,-49,-65,
7/9/2024 9:32,42,42,W,-70,-67,-68,-67,,-71,-62,,-57,-48,-52,
7/9/2024 9:32,42,42,W,-67,-70,-75,,,,-67,,-56,-47,,
7/9/2024 9:33,42,42,W,-66,-69,-69,-78,,,,-52,,-48,-52,
7/9/2024 9:33,42,42,W,-67,,-74,-66,-75,,,-61,-56,-68,,
7/9/2024 9:33,42,42,W,,,,-76,,-71,-55,-55,-57,-53,-74,-73
7/9/2024 9:33,42,42,W,-63,-70,-72,,,-69,-55,,-70,-48,,
7/9/2024 9:33,42,42,W,,-69,-74,,,-70,,,-55,-49,-52,
7/9/2024 9:33,42,42,N,-59,-69,,-68,,-66,,-63,-73,-43,-58,
7/9/2024 9:34,42,42,N,,-65,-72,-68,,,,-62,-60,-59,-57,-74
7/9/2024 9:34,42,42,N,-60,-71,-75,,,-75,,,-53,,-57,-63
7/9/2024 9:34,42,42,N,-59,,,-61,-57,,-55,-67,-68,-61,-73,-72
7/9/2024 9:34,42,42,N,,,-70,-70,-55,,,-61,,-82,-63,
7/9/2024 9:34,42,42,N,-55,,,-71,,,,,,-46,,
7/9/2024 9:34,42,42,N,-72,,-73,,-90,-70,-56,-68,-90,-60,-62,-67
7/9/2024 9:34,42,42,N,-55,,-87,-70,-78,,-57,,-54,-45,-58,
7/9/2024 9:34,42,42,N,,-68,,-67,,-68,-57,,-63,-43,-59,-75
7/9/2024 9:34,42,42,N,-60,,,,-56,-61,-58,,-71,-46,-62,-74
7/9/2024 9:34,42,42,N,-56,,,,,,,,-53,,-64,-64
7/9/2024 9:34,42,42,N,-60,,-74,-72,,-61,-55,,-54,-68,-57,-63
7/9/2024 9:34,42,42,N,,-68,-67,,,,-58,-63,-53,,,-63
7/9/2024 9:34,42,42,N,-56,-70,,,,-70,-62,-62,-74,-46,-60,-62
7/9/2024 9:34,42,42,N,,-76,-70,-60,,-66,-63,-61,,-61,-67,-70
7/9/2024 9:34,42,42,N,-56,,,,-69,,,-61,-73,-62,,
7/9/2024 9:34,42,42,N,-60,-71,-76,,,-69,-56,-66,-53,-59,-57,
7/9/2024 9:34,42,42,N,-55,,,,,-70,-56,-62,-77,-57,-60,
7/9/2024 9:34,42,42,N,,,,,,-75,,,,,,
7/9/2024 9:34,42,42,N,-55,,,,-56,-72,-58,-63,-71,-67,,-76
7/9/2024 9:34,42,42,N,,,-69,,-56,-62,-55,-61,,-61,-67,-67
7/9/2024 9:34,42,42,N,-56,,-72,,,,-62,-62,,-53,-61,
7/9/2024 9:34,42,42,N,-69,,-75,-68,-56,,-62,,,,,-65
